millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
4201504,39.792223,-86.238621,0.43,352.8,0.0903,0.2175,0.7883
4202004,39.792223,-86.238621,0.43,352.8,0.2834,0.0737,0.7139
4202504,39.792229,-86.238618,1.82,1.5,0.0095,0.5765,1.5773
4203004,39.792229,-86.238618,1.82,1.5,0.4010,0.2621,0.9015
4203504,39.792240,-86.238618,3.31,359.5,-0.1386,0.4574,1.6952
4204004,39.792240,-86.238618,3.31,359.5,0.4088,0.3939,0.7698
4204504,39.792258,-86.238618,4.87,358.9,0.5740,-0.0203,0.3629
4205004,39.792258,-86.238618,4.87,358.9,0.2463,0.1542,0.8903
4205504,39.792282,-86.238618,6.43,359.3,0.4478,0.0456,0.6407
4206004,39.792282,-86.238618,6.43,359.3,0.0649,0.1384,0.8230
4206504,39.792313,-86.238618,8.06,359.4,0.7556,-0.0815,0.2885
4207004,39.792313,-86.238618,8.06,359.4,-0.5408,0.7314,1.8748
4207504,39.792351,-86.238619,9.67,359.0,-0.0310,0.7483,2.1431
4208004,39.792351,-86.238619,9.67,359.0,0.0801,-0.1669,0.5721
4208504,39.792396,-86.238621,11.31,358.4,0.3334,-0.0073,1.0197
4209004,39.792396,-86.238621,11.31,358.4,0.5447,0.1930,0.5989
4209504,39.792448,-86.238625,13.02,358.2,-0.0339,0.2016,0.1957
4210004,39.792448,-86.238625,13.02,358.2,0.3868,-0.3124,0.9626
4210504,39.792505,-86.238627,14.53,358.6,0.6729,0.1567,0.9440
4211004,39.792505,-86.238627,14.53,358.6,-0.1547,0.0164,0.0964
4211504,39.792569,-86.238628,16.15,358.8,-0.4957,0.3942,0.4483
4212004,39.792569,-86.238628,16.15,358.8,0.3505,0.2741,1.1295
4212504,39.792638,-86.238630,17.51,358.3,0.2675,0.3656,0.5003
4213004,39.792638,-86.238630,17.51,358.3,0.5921,0.0896,1.2625
4213504,39.792713,-86.238632,19.03,358.3,-0.3226,0.5801,1.6003
4214004,39.792713,-86.238632,19.03,358.3,0.1110,0.4884,0.8354
4214504,39.792793,-86.238635,20.41,358.6,-0.1762,0.8947,1.4028
4215004,39.792793,-86.238635,20.41,358.6,0.0344,0.1076,0.2887
4215504,39.792876,-86.238637,20.74,358.1,0.1979,0.2001,0.2328
4216004,39.792876,-86.238637,20.74,358.1,0.4832,0.3712,0.8098
4216504,39.792959,-86.238642,20.58,357.3,-0.9037,-0.0818,1.2425
4217004,39.792959,-86.238642,20.58,357.3,-0.1413,0.3697,0.3007
4217504,39.793041,-86.238646,20.29,357.8,-0.0298,0.0491,-0.1599
4218004,39.793041,-86.238646,20.29,357.8,0.0122,0.2672,0.5638
4218504,39.793122,-86.238650,20.15,357.9,-0.0508,0.2646,1.0719
4219004,39.793122,-86.238650,20.15,357.9,0.0115,0.4227,1.7025
4219504,39.793202,-86.238653,19.86,358.6,0.2860,-0.3136,1.8277
4220004,39.793202,-86.238653,19.86,358.6,-0.0835,0.6155,1.0765
4220504,39.793281,-86.238656,19.57,358.2,0.0835,0.2448,0.2033
4221004,39.793281,-86.238656,19.57,358.2,-0.2436,0.0029,0.7207
4221504,39.793360,-86.238658,19.47,357.9,0.4025,0.2902,1.6708
4222004,39.793360,-86.238658,19.47,357.9,-0.1794,0.0369,0.4635
4222504,39.793438,-86.238661,19.29,358.0,-0.3444,0.7893,2.4381
4223004,39.793438,-86.238661,19.29,358.0,-0.0483,0.2909,1.1163
4223504,39.793515,-86.238662,19.09,358.5,-0.0200,0.1623,0.6468
4224004,39.793515,-86.238662,19.09,358.5,-0.3707,0.5323,1.5898
4224504,39.793590,-86.238663,18.87,358.4,0.5357,0.3656,1.4441
4225004,39.793590,-86.238663,18.87,358.4,0.0366,0.3314,1.1651
