millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
920,NO_FIX,NO_FIX,0.00,0.0,0.3898,0.8562,0.3080
1419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8669,0.3092
1919,NO_FIX,NO_FIX,0.00,0.0,0.3822,0.8537,0.2999
2419,NO_FIX,NO_FIX,0.00,0.0,0.3890,0.8566,0.3073
2919,NO_FIX,NO_FIX,0.00,0.0,0.3968,0.8632,0.3026
3419,NO_FIX,NO_FIX,0.00,0.0,0.4042,0.8659,0.3275
3919,NO_FIX,NO_FIX,0.00,0.0,0.4078,0.8620,0.2821
4419,NO_FIX,NO_FIX,0.00,0.0,0.3859,0.8608,0.3102
4919,NO_FIX,NO_FIX,0.00,0.0,0.3841,0.8771,0.2965
5419,NO_FIX,NO_FIX,0.00,0.0,0.3776,0.8327,0.3290
5919,NO_FIX,NO_FIX,0.00,0.0,0.3824,0.8562,0.3236
6419,NO_FIX,NO_FIX,0.00,0.0,0.4022,0.8452,0.3124
6919,NO_FIX,NO_FIX,0.00,0.0,0.4161,0.8466,0.3117
7419,NO_FIX,NO_FIX,0.00,0.0,0.3819,0.8564,0.3231
7919,NO_FIX,NO_FIX,0.00,0.0,0.4227,0.9923,0.4005
8419,NO_FIX,NO_FIX,0.00,0.0,0.4022,0.8520,0.3222
8919,NO_FIX,NO_FIX,0.00,0.0,0.3844,0.8418,0.3129
9419,NO_FIX,NO_FIX,0.00,0.0,0.3724,0.8527,0.3192
9919,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8430,0.3119
10419,NO_FIX,NO_FIX,0.00,0.0,0.3968,0.8518,0.3129
10919,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8459,0.3224
11419,NO_FIX,NO_FIX,0.00,0.0,0.3985,0.8671,0.3078
11919,NO_FIX,NO_FIX,0.00,0.0,0.3776,0.8566,0.3087
12419,NO_FIX,NO_FIX,0.00,0.0,0.4032,0.8618,0.3273
12919,NO_FIX,NO_FIX,0.00,0.0,0.4017,0.8579,0.3170
13419,NO_FIX,NO_FIX,0.00,0.0,0.3929,0.8513,0.3126
13919,NO_FIX,NO_FIX,0.00,0.0,0.3944,0.8535,0.3161
14419,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8542,0.3158
14919,NO_FIX,NO_FIX,0.00,0.0,0.3900,0.8513,0.3187
15419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8557,0.3180
15919,NO_FIX,NO_FIX,0.00,0.0,0.3915,0.8588,0.3156
16419,NO_FIX,NO_FIX,0.00,0.0,0.3956,0.8554,0.3226
16919,NO_FIX,NO_FIX,0.00,0.0,0.3939,0.8535,0.3161
17419,NO_FIX,NO_FIX,0.00,0.0,0.3959,0.8510,0.3239
17919,NO_FIX,NO_FIX,0.00,0.0,0.3976,0.8483,0.3226
18419,NO_FIX,NO_FIX,0.00,0.0,0.4003,0.8493,0.3163
18919,NO_FIX,NO_FIX,0.00,0.0,0.3871,0.8518,0.3222
19419,NO_FIX,NO_FIX,0.00,0.0,0.3971,0.8430,0.3190
19919,NO_FIX,NO_FIX,0.00,0.0,0.3971,0.8535,0.3187
20419,NO_FIX,NO_FIX,0.00,0.0,0.3863,0.8549,0.3051
20919,NO_FIX,NO_FIX,0.00,0.0,0.3961,0.8515,0.3153
21419,NO_FIX,NO_FIX,0.00,0.0,0.4603,0.8813,0.3200
21919,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8771,0.3297
22419,NO_FIX,NO_FIX,0.00,0.0,0.4083,0.8569,0.3112
22919,NO_FIX,NO_FIX,0.00,0.0,0.3912,0.8608,0.3209
23419,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8576,0.3102
23919,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8420,0.3265
24419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8574,0.3175
24919,NO_FIX,NO_FIX,0.00,0.0,0.3905,0.8583,0.3197
25419,NO_FIX,NO_FIX,0.00,0.0,0.3932,0.8210,0.3153
25919,NO_FIX,NO_FIX,0.00,0.0,0.3863,0.8547,0.3280
26419,NO_FIX,NO_FIX,0.00,0.0,0.3973,0.8501,0.3273
26919,NO_FIX,NO_FIX,0.00,0.0,0.3968,0.8471,0.3117
27419,NO_FIX,NO_FIX,0.00,0.0,0.3839,0.8486,0.3234
27919,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8437,0.3158
28419,NO_FIX,NO_FIX,0.00,0.0,0.3778,0.8688,0.3146
28919,NO_FIX,NO_FIX,0.00,0.0,0.3881,0.8610,0.3048
29419,NO_FIX,NO_FIX,0.00,0.0,0.3866,0.8557,0.3248
29919,NO_FIX,NO_FIX,0.00,0.0,0.3944,0.8505,0.3246
30419,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8601,0.3168
30919,NO_FIX,NO_FIX,0.00,0.0,0.4049,0.8486,0.3248
31419,NO_FIX,NO_FIX,0.00,0.0,0.4051,0.8493,0.3229
31919,NO_FIX,NO_FIX,0.00,0.0,0.5425,0.9701,0.1718
32419,NO_FIX,NO_FIX,0.00,0.0,0.3854,0.8566,0.3104
32919,NO_FIX,NO_FIX,0.00,0.0,0.3985,0.8654,0.3212
33419,NO_FIX,NO_FIX,0.00,0.0,0.3878,0.8549,0.3109
33919,NO_FIX,NO_FIX,0.00,0.0,0.4147,0.8764,0.3100
34419,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8501,0.3195
34919,NO_FIX,NO_FIX,0.00,0.0,0.3817,0.8369,0.3231
35419,NO_FIX,NO_FIX,0.00,0.0,0.3846,0.8510,0.3273
35919,NO_FIX,NO_FIX,0.00,0.0,0.4046,0.8571,0.3178
36419,NO_FIX,NO_FIX,0.00,0.0,0.3937,0.8581,0.3136
36919,NO_FIX,NO_FIX,0.00,0.0,0.3998,0.8474,0.3139
37419,NO_FIX,NO_FIX,0.00,0.0,0.4010,0.8503,0.3141
37919,NO_FIX,NO_FIX,0.00,0.0,0.3861,0.8586,0.3168
38419,NO_FIX,NO_FIX,0.00,0.0,0.3851,0.8542,0.3363
38919,NO_FIX,NO_FIX,0.00,0.0,0.4086,0.8928,0.3143
39419,NO_FIX,NO_FIX,0.00,0.0,0.3780,0.8481,0.3124
39919,NO_FIX,NO_FIX,0.00,0.0,0.3927,0.8503,0.3078
40419,NO_FIX,NO_FIX,0.00,0.0,0.3829,0.8532,0.3204
40919,NO_FIX,NO_FIX,0.00,0.0,0.3817,0.8574,0.3141
41419,NO_FIX,NO_FIX,0.00,0.0,0.3888,0.8540,0.3185
41919,NO_FIX,NO_FIX,0.00,0.0,0.3873,0.8535,0.3226
42419,NO_FIX,NO_FIX,0.00,0.0,0.3910,0.8569,0.3180
42919,NO_FIX,NO_FIX,0.00,0.0,0.3895,0.8542,0.3102
43419,NO_FIX,NO_FIX,0.00,0.0,0.3920,0.8562,0.3165
43919,NO_FIX,NO_FIX,0.00,0.0,0.4078,0.8532,0.3295
44419,NO_FIX,NO_FIX,0.00,0.0,0.4083,0.8513,0.3251
44919,NO_FIX,NO_FIX,0.00,0.0,0.4029,0.8518,0.3219
45419,NO_FIX,NO_FIX,0.00,0.0,0.3902,0.8632,0.3192
45919,NO_FIX,NO_FIX,0.00,0.0,0.3859,0.8515,0.3161
46419,NO_FIX,NO_FIX,0.00,0.0,0.3785,0.8557,0.3336
46919,NO_FIX,NO_FIX,0.00,0.0,0.3815,0.8479,0.3217
47419,NO_FIX,NO_FIX,0.00,0.0,0.3978,0.8501,0.3217
47919,NO_FIX,NO_FIX,0.00,0.0,0.3973,0.8569,0.3224
48419,NO_FIX,NO_FIX,0.00,0.0,0.3827,0.8625,0.3253
48919,NO_FIX,NO_FIX,0.00,0.0,0.3866,0.8537,0.3302
49419,NO_FIX,NO_FIX,0.00,0.0,0.3876,0.8513,0.3263
49919,NO_FIX,NO_FIX,0.00,0.0,0.3976,0.8457,0.3258
50419,NO_FIX,NO_FIX,0.00,0.0,0.3807,0.8552,0.3185
50919,NO_FIX,NO_FIX,0.00,0.0,0.3944,0.8588,0.3183
51419,NO_FIX,NO_FIX,0.00,0.0,0.3800,0.8569,0.3319
51919,NO_FIX,NO_FIX,0.00,0.0,0.3863,0.8603,0.3358
52419,NO_FIX,NO_FIX,0.00,0.0,0.3802,0.8513,0.3217
52919,NO_FIX,NO_FIX,0.00,0.0,0.3868,0.8474,0.3178
